,Inlf_Value
0,1.15808789838613
1,1.413693487455908
2,0.8967125672268281
3,1.2093094235210273
4,4.53334077344577
5,1.3307346036968664
6,2.9845716240195843
7,0.9936225802348844
8,1.9619500889282664
9,1.2812185016571362
10,2.5444873200923936
11,0.33702764893550086
12,1.9726141995103674
13,1.493746350675429
14,1.5540742775587129
15,3.0095905999637074
16,1.6615564056861327
17,1.2770612077878702
18,1.0306061464880534
19,1.4767421667519427
20,1.6268740771076269
21,1.7365964936997988
22,2.8199449255854994
23,2.3952323907949573
24,4.482128983232725
25,2.6821371880705396
26,2.1304145677854205
27,0.9893570534891483
28,2.1666594573745046
29,1.9460462547704553
30,2.5590235158144186
31,3.0292610325011706
32,2.629641916286227
33,1.5992866958316725
34,1.9785456758604072
35,2.5329149516399596
36,2.3546423355020147
37,1.727884521862908
38,3.228703380269872
39,1.9369338909437506
40,3.251010503460809
41,1.1307237565736008
42,2.6113823713683315
43,5.331551817758382
44,3.6084526172162885
45,1.783131051610833
46,2.4286701941702233
47,3.100082520400634
48,3.3671168106101694
49,2.650394286167727
50,2.155626522785063
51,3.071564754166963
52,1.603450789957531
53,2.763324416815763
54,2.024555904622779
55,1.110916897676649
56,2.6483260982831363
57,2.2946056362848877
58,3.0048364331697535
59,2.85137886582761
60,1.0460431166688995
61,2.6099129366024743
62,2.176376885163907
63,2.5617393740602328
64,2.5267241821547843
65,1.8150986983025046
66,1.0261481048289331
67,3.4710683454592903
68,1.9161109586788836
69,2.704606348828345
70,1.6489061986302493
71,2.825758138819552
72,3.24881798533794
73,2.5575478968642944
74,1.4396492024332845
75,2.9867388422019756
76,4.016806014301188
77,2.9324502981498286
78,3.2388753257005156
79,4.1173044124930485
80,5.557634088324924
81,3.9437804812738966
82,4.965774774980062
83,4.382432701705563
84,2.616295576655321
85,2.4744678092010437
86,2.921221541084728
87,3.4089645281111673
88,2.5595125584478478
89,3.077674060535121
90,3.3106277614275212
91,2.21768602663058
92,2.668205311425587
93,2.6170527889782056
94,3.189293149088047
95,3.6786045467221156
96,3.29412350949098
97,3.955315984926016
98,4.163417029845696
99,1.6813214809692099
100,2.92433173391919
101,4.296723680518885
102,3.419606266770222
103,2.301185538633817
104,3.8136020210898813
105,3.008521555546106
106,3.0225276498422016
107,3.174788253630508
108,3.6258267132857114
109,2.0435735808546944
110,2.6493078091352293
111,3.560108707452785
112,2.1443910090662497
113,1.6657994079829654
114,4.503717266696273
115,3.30584623331735
116,2.4434865049530288
117,2.4538506256018255
118,3.1397438526985013
119,2.982854945078251
120,3.922447590044639
121,2.3197129509643952
122,3.233381015157094
123,1.581865660148269
124,3.5825485077980863
125,1.9673601336716064
126,2.784079638406382
127,3.390504435136794
128,3.3851094032500884
129,2.9162711262016545
130,2.5501952988580197
131,2.6339052099315614
132,2.492356923185943
133,2.4053163144416185
134,3.344709618390012
135,2.382494717066156
136,2.3017778711829395
137,1.6852511697578612
138,4.137710074264586
139,4.253064959229715
140,2.583629033491256
141,2.1178379618956606
142,4.425669925527247
143,2.0676857984101336
144,5.090713511588361
145,4.978913504690018
146,2.336288722311102
147,1.8306421236032904
148,1.6385309312216485
149,2.6950652996959095
150,2.8928482579751043
151,3.692002109317599
152,2.869878470689975
153,2.453241692544247
154,4.146483998572091
155,3.02157420383488
156,4.0580244139520145
157,3.4864610021375313
158,2.3093269609432374
159,4.8389015385945635
160,3.6198412061457033
161,3.742249350665599
162,2.7132158950221754
163,4.871259974511552
164,2.5644513341987683
165,4.645985785871396
166,3.7361999665084635
167,2.2302517567669513
168,5.481920137601431
169,5.211137087420272
170,3.194643867472144
171,2.8681166364927364
172,4.1120020893150135
173,4.941127176901016
174,4.090713511588364
175,3.93645447471323
176,3.4744845640661914
177,2.85222118664994
178,2.346085295348381
179,3.5098428193303377
180,3.319445999237627
181,2.5977536761828635
182,3.344195109073789
183,2.5256370865135693
184,3.767851293743832
185,2.86595333063409
186,3.9060220807707653
187,4.802017250998108
188,3.933105658226695
189,2.381443550612534
190,4.6002282953107185
191,2.7909462573313055
192,3.5959627685649824
193,2.7294945111353703
194,4.609002219618225
195,2.4661783182755075
196,4.025513316073027
197,4.129631577618734
198,3.0575451483357092
199,3.6242117913138197
200,2.8058767675012257
201,4.19446032301535
202,2.523222193912095
203,3.889873142696522
204,4.9806900700448455
205,3.1881636439470764
206,4.843576940381387
207,4.657256757923531
208,5.112663491791926
209,5.068079819874826
210,3.6220605174912714
211,3.6573159689954586
212,2.2447998489247842
213,2.2909178271105937
214,1.6513868601581452
215,2.4430899777616926
216,3.7217881394982184
217,2.998891658930276
218,4.4075377744355775
219,2.7720540276206656
220,2.3593056647470467
221,3.7110225453185146
222,3.5612006623057715
223,3.4834322409192824
224,3.5721995717104758
225,2.9208712018096845
226,4.2616651309916325
227,4.5678347663080245
228,4.309656029721708
229,2.6097992678515594
230,3.131331362496625
231,3.795717945818459
232,4.7720540276206656
233,2.828111474821152
234,5.407720596783847
235,4.771630238459209
236,2.958410150230452
237,4.531727546061929
238,1.9897334557506996
239,3.557966580559471
240,3.6299759098422433
241,3.9048624152435245
242,1.1864940194554476
243,3.618828549066447
244,5.101708895889827
245,4.84866137588372
246,4.155187586093969
247,4.0446980026820185
248,4.333751560274657
249,2.1459403541181903
250,5.477136460842873
251,3.8123228813895507
252,4.473319965839514
253,4.085052196819888
254,3.31661217910454
255,3.393821599188862
256,2.1644997257492813
257,4.976429402510882
258,3.43307512404282
259,3.458690296882957
260,3.1155370953133943
261,5.930416519715912
262,3.5495623548936965
263,3.204185460229777
264,5.01481187930482
265,5.1657387978648295
266,3.3285302809335393
267,4.190018737135966
268,4.670779209210158
269,5.157479382873555
270,3.6750447359558907
271,2.8591049246828506
272,4.071205553161727
273,3.332345037442357
274,3.902107599113534
275,5.202079441007388
276,5.957905123965502
277,4.4545343371118
278,5.204547296920625
279,5.659605139663671
280,2.5592345945461092
281,4.881488982365732
282,4.692773502916324
283,4.144652914554853
284,3.68067192619353
285,5.6824735462765155
286,3.8083070731264783
287,3.782322416278012
288,4.791573702198978
289,3.6753585339955333
290,4.131331362496626
291,4.749781770012757
292,4.337031174038741
293,5.8699942671129755
294,6.136262156517747
295,4.944585475910125
296,6.027922681728907
297,7.535396923802727
298,4.3279220166139325
299,4.98696407405
300,4.0717456725123835
301,4.319025835878678
302,1.6340861282769863
303,4.482936284457017
304,5.619086567412117
305,3.604976878983572
306,7.1528614183372055
307,4.274982545946612
308,6.329203932523938
309,5.048515831793908
310,5.998259532736774
311,4.3057228366744145
312,4.090894429933784
313,4.149060129457059
314,4.684903851901765
315,5.022785668187871
316,5.759720292546939
317,7.997083112344391
318,3.2476865761941216
319,5.521047049263095
320,4.7858145163699835
321,3.020041314562672
322,3.8177122395246252
323,6.37397042678931
324,4.602708588190205
325,7.589024065377963
326,5.011532265540737
327,3.8498969228960256
328,3.8335065067078595
329,4.559234594546107
330,5.116807735411406
331,6.187623524596421
332,4.8621246160984155
333,4.070510125500075
334,6.677078514389809
335,2.868964040628722
336,3.622656666496205
337,7.116267616060751
338,6.084082932689349
339,4.3637147836521
340,6.016927297427444
341,5.674603895261951
342,3.633361565477669
343,4.33029102816515
344,4.2037724626706625
345,5.634781555938638
346,4.178668681943492
347,4.39520403936185
348,4.462423860194767
349,3.3952040393618494
350,3.438486910794671
351,2.9996943363150654
352,6.1400868425695405
353,3.638385680207464
354,5.6457769402401015
355,5.885093106634557
356,5.2780090005768
357,4.529015978934369
358,4.643555480246143
359,5.277204005940573
360,4.700598840428282
361,4.95929264745214
362,3.0784790551713472
363,5.586908647255341
364,4.339696194563297
365,3.8900540610419423
366,3.0121216513310562
367,5.397349533418733
368,5.810872814994319
369,5.418533158737039
370,5.90238779611567
371,6.0887790118111615
372,6.515443171745096
373,3.6293865240519327
374,5.288746475347165
375,6.4515706753505135
376,4.363608741780768
377,4.316022793314224
378,6.617152067634922
379,2.8926812537500517
380,4.427201041173208
381,4.54460492558955
382,6.9001711953334866
383,5.713962801986262
384,6.3771847870814184
385,5.1119028106583
386,5.254570314227033
387,4.880214817164478
388,3.8369319457316573
389,4.38960016184385
390,4.043529267352093
391,5.049111980798842
392,4.655536777529258
393,6.006392625888326
394,4.680358128153892
395,4.048515831793908
396,4.37817070006307
397,4.8235679841736765
398,4.088057974115083
399,6.312381342859296
400,4.139931534258544
401,3.6525103228990696
402,4.038473893499767
403,3.672387294479769
404,4.589024065377963
405,3.738630272133716
406,6.099487435895867
407,4.316022793314225
408,3.523746900238976
409,5.088598093465742
410,3.8797541044021333
411,3.9592502379523875
412,5.798638358577307
413,5.073680172289584
414,4.358319751765394
415,3.8389015385945626
416,6.317957293091425
417,4.622755945152919
418,3.31354817418637
419,6.914622252532682
420,3.361780283874901
421,4.938940809992763
422,4.129631577618731
423,4.575660103819983
424,4.800157225109783
425,3.5029217551113208
426,3.514747744083447
427,4.175389068179407
428,4.254570314227028
429,2.9638402752028616
430,4.239330347670296
431,4.719176915527545
432,3.6628102795388813
433,3.6866947595196455
434,4.1296315776187305
435,4.37950905083533
436,4.374014740291911
437,3.718327607388714
438,3.9938034985803057
439,3.1365702808057536
440,3.482173296735329
441,2.4746058471924437
442,3.47565838270976
443,3.681299727632938
444,4.676482365384872
445,5.351200130232951
446,1.8169308075683483
447,1.18279217474032
448,1.040658597212361
449,6.123734035469934
450,0.9553455834450988
451,2.248705544898878
452,1.2383095025901518
453,1.4547012678491908
454,1.2867244346269509
455,2.2963339165421672
456,1.2134616340766433
457,2.3725996090427133
458,0.5895434339059626
459,2.0141670521913646
460,3.0395703987045986
461,1.804830000785227
462,1.251783353729734
463,1.4290655236880951
464,1.8228134744922917
465,1.2554277047949327
466,2.02963680886985
467,2.117127580372184
468,1.772787915531591
469,4.63610591910287
470,1.6947474208562356
471,1.439149871481992
472,1.2332389812081859
473,1.6864534469140215
474,1.379332991701684
475,1.7444453938917093
476,2.7665389662545916
477,2.568708805727037
478,0.7699994983640952
479,2.066447477804336
480,2.284761548089733
481,3.0365427255592277
482,1.5288739449854605
483,4.138189339880894
484,2.5145858583037457
485,3.445349898004925
486,0.796281627849063
487,1.854975038327538
488,6.921945079782547
489,3.519490783056855
490,2.212196575298929
491,2.1609571697891914
492,2.548933738914429
493,1.9498686342341935
494,1.6895239650865017
495,1.9409209573810973
496,3.3514663396270583
497,2.0330028956759847
498,1.630936119064189
499,2.03407442930631
500,1.74006226164882
501,2.1886239017563653
502,1.9219784194796148
503,2.191747017393248
504,2.2832619985145994
505,1.4668212980798483
506,2.5837043820145134
507,2.7598823640725536
508,3.5457587594254907
509,2.479915714287202
510,1.6449791220670908
511,1.6008869872242455
512,2.5368648791262753
513,2.339665960689363
514,3.5982402582132185
515,1.6152411305376733
516,3.026032684601028
517,3.542101171324025
518,2.282089124780687
519,2.1422234835639884
520,3.062074651375151
521,4.744544672548426
522,2.956093465524969
523,3.318035820925486
524,3.8063760706942436
525,5.938364698564532
526,2.9797573837227613
527,5.371662962500722
528,4.061269656738921
529,2.907544984207493
530,2.483992376284621
531,2.8295997757593776
532,2.906952129606439
533,2.214274667235448
534,3.6011164878460686
535,2.87487844104343
536,1.6304952783702493
537,3.0563647319858154
538,3.337731460912167
539,2.4946671993318237
540,3.5139219986245624
541,3.7309115669310726
542,3.7272907714666745
543,3.4081482657035655
544,1.8526630298575002
545,2.6734032833956807
546,3.98824412371163
547,4.897412854100251
548,2.11995408461945
549,4.19433263132949
550,2.80206149101305
551,2.868909264621329
552,4.501837277120133
553,3.7259955892351986
554,2.7239447592687984
555,3.4814860601221094
556,2.8662481088952445
557,2.4504693421409582
558,2.2248359740575916
559,4.985182575995735
560,3.4032756148534107
561,3.1157185478155336
562,2.4854627226482418
563,2.98293095561551
564,3.4551821761279156
565,3.6598283275580163
566,3.0526260793153686
567,3.308672510827667
568,2.272400190359366
569,3.1983740711890167
570,1.5162130732956207
571,3.1071824556105936
572,4.1289118740311865
573,3.3118425576171724
574,3.620231026816148
575,1.8863731196753237
576,2.3490828081074806
577,2.3242138429788826
578,3.4289903276906974
579,3.9335658156827646
580,2.235320374146065
581,2.8109077501403554
582,2.0222763947111506
583,4.944590335121897
584,4.528090954818772
585,3.32144708659533
586,2.1502107400757025
587,4.485310746173907
588,2.2699263995082974
589,5.506901655748834
590,5.553464140945741
591,2.968029836011521
592,2.0979662627753335
593,2.1457403270966147
